"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"RichFactor"	"FoldEnrichment"	"zScore"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0001819"	"BP"	"GO:0001819"	"positive regulation of cytokine production"	"36/404"	"500/18888"	0.072	3.36617821782178	7.92755747770435	2.1857508690515e-10	9.13643863263525e-08	7.20339124125129e-08	"HSPA1A/HSPA1B/HSPD1/RGCC/CD55/TYROBP/NR4A3/CD83/NMB/PELI1/HSP90AA1/ARID5A/HSPB1/EBI3/SOD1/FCER1G/DDIT3/IRF8/IL6ST/CD200/MIF/BATF/UAP1/EGR1/FCGR3A/RARA/XBP1/CADM1/STAT3/DDX3X/FOXP3/CCR7/IRF7/CEBPG/CD160/CD14"	36
"GO:0035710"	"BP"	"GO:0035710"	"CD4-positive, alpha-beta T cell activation"	"17/404"	"120/18888"	0.141666666666667	6.62326732673267	9.13575719301681	7.45748212017081e-10	2.87744079344437e-07	2.26864456076775e-07	"JUNB/CD55/CD83/RELB/NDFIP1/BRD2/BATF/ZC3H12A/ARG2/NFKBID/RARA/STAT3/IL2RA/SOCS3/BRAF/FOXP3/CD160"	17
"GO:0007159"	"BP"	"GO:0007159"	"leukocyte cell-cell adhesion"	"31/404"	"419/18888"	0.0739856801909308	3.45901368179777	7.52524179273244	2.16097062144383e-09	7.74244902654446e-07	6.10433580809358e-07	"HSPH1/HSPD1/CD55/NR4A3/CD83/PELI1/EBI3/NDFIP1/PRNP/BRD2/IL6ST/ZC3H12A/ARG2/NFKBID/EZR/KLF4/RARA/SDC4/SOX4/ICOS/XBP1/CD177/IL2RA/HES1/FOXP3/CCR7/CD160/ICAM1/MAP3K8/YES1/NFAT5"	31
"GO:0050863"	"BP"	"GO:0050863"	"regulation of T cell activation"	"29/404"	"382/18888"	0.0759162303664921	3.54927168109481	7.44158962911155	4.06164464858394e-09	1.35821397048647e-06	1.07084904875297e-06	"HSPH1/JUNB/HSPD1/CD55/CD83/PELI1/EBI3/SOD1/NDFIP1/PRNP/BRD2/IL6ST/BATF/ZC3H12A/ARG2/NFKBID/RARA/SDC4/SOX4/ICOS/XBP1/IL2RA/HES1/BRAF/FOXP3/CCR7/CD160/MAP3K8/YES1"	29
"GO:2000514"	"BP"	"GO:2000514"	"regulation of CD4-positive, alpha-beta T cell activation"	"13/404"	"78/18888"	0.166666666666667	7.79207920792079	8.88648144231827	1.01325236619312e-08	3.17654616801545e-06	2.50446653933393e-06	"JUNB/CD55/CD83/NDFIP1/BRD2/BATF/ZC3H12A/ARG2/NFKBID/RARA/IL2RA/FOXP3/CD160"	13
"GO:0046631"	"BP"	"GO:0046631"	"alpha-beta T cell activation"	"19/404"	"181/18888"	0.104972375690608	4.90771839614901	7.80970566789549	1.25919367562084e-08	3.71536204524362e-06	2.92928212960217e-06	"HSPH1/JUNB/CD55/CD83/RELB/EBI3/NDFIP1/BRD2/BATF/ZC3H12A/ARG2/NFKBID/RARA/STAT3/IL2RA/SOCS3/BRAF/FOXP3/CD160"	19
"GO:0034605"	"BP"	"GO:0034605"	"cellular response to heat"	"12/404"	"67/18888"	0.17910447761194	8.37357765627309	8.93857946156434	1.61712808903105e-08	4.28915411857935e-06	3.38167380666134e-06	"HSPA1A/DNAJB1/HSPA1B/HSP90AB1/CDKN1A/HSP90AA1/DNAJB6/CHORDC1/BAG3/HSPA6/STAC/IER5"	12
"GO:1903037"	"BP"	"GO:1903037"	"regulation of leukocyte cell-cell adhesion"	"28/404"	"382/18888"	0.0732984293193717	3.42688300243637	7.08432432522908	1.62467959037097e-08	4.28915411857935e-06	3.38167380666134e-06	"HSPH1/HSPD1/CD55/NR4A3/CD83/PELI1/EBI3/NDFIP1/PRNP/BRD2/IL6ST/ZC3H12A/ARG2/NFKBID/KLF4/RARA/SDC4/SOX4/ICOS/XBP1/IL2RA/HES1/FOXP3/CCR7/CD160/MAP3K8/YES1/NFAT5"	28
"GO:0051973"	"BP"	"GO:0051973"	"positive regulation of telomerase activity"	"9/404"	"33/18888"	0.272727272727273	12.7506750675067	9.98805008791307	2.0990982404859e-08	5.26453838713864e-06	4.15069057342396e-06	"HSP90AB1/PTGES3/HSP90AA1/CCT4/MYC/NAF1/TCP1/NEK7/KLF4"	9
"GO:0046634"	"BP"	"GO:0046634"	"regulation of alpha-beta T cell activation"	"15/404"	"115/18888"	0.130434782608696	6.09814894532932	8.10716089959113	2.36998384360274e-08	5.6608756950054e-06	4.4631725816619e-06	"HSPH1/JUNB/CD55/CD83/EBI3/NDFIP1/BRD2/BATF/ZC3H12A/ARG2/NFKBID/RARA/IL2RA/FOXP3/CD160"	15
"GO:0022407"	"BP"	"GO:0022407"	"regulation of cell-cell adhesion"	"32/404"	"496/18888"	0.0645161290322581	3.01628872564676	6.72749329535444	3.17794815796046e-08	7.24572180014984e-06	5.71270393753945e-06	"HSPH1/HSPD1/RGCC/CD55/NR4A3/CD83/PELI1/EBI3/MYADM/NDFIP1/PRNP/BRD2/IL6ST/ZC3H12A/ARG2/NFKBID/KLF4/RARA/SDC4/SOX4/ICOS/XBP1/SERPINE2/IL2RA/HES1/FOXP3/CCR7/CD160/PTK2/MAP3K8/YES1/NFAT5"	32
"GO:2001233"	"BP"	"GO:2001233"	"regulation of apoptotic signaling pathway"	"28/404"	"396/18888"	0.0707070707070707	3.30573057305731	6.8554884194043	3.51030377084431e-08	7.6555146585022e-06	6.03579463023436e-06	"HSPA1A/LMNA/HSPA1B/DNAJA1/NR4A2/GPX1/TNFAIP3/DEDD2/HSPB1/SOD1/SOD2/UBB/PMAIP1/MYC/DDIT3/MIF/SLC25A4/MCL1/IVNS1ABP/IER3/CRADD/XBP1/ATF3/MUC1/DDX3X/SLC25A5/ICAM1/TNFRSF12A"	28
"GO:0051251"	"BP"	"GO:0051251"	"positive regulation of lymphocyte activation"	"25/404"	"328/18888"	0.0762195121951219	3.56345085728085	6.9238416183154	4.54567047713004e-08	9.50045129720177e-06	7.49038771165682e-06	"HSPH1/HSPD1/CDKN1A/CD55/TNFRSF4/TYROBP/CD83/PELI1/EBI3/BRD2/IL6ST/MIF/NFKBID/FCGR3A/RARA/SOX4/ICOS/XBP1/IL2RA/HES1/FOXP3/CCR7/CD160/MAP3K8/YES1"	25
"GO:1903131"	"BP"	"GO:1903131"	"mononuclear cell differentiation"	"31/404"	"484/18888"	0.0640495867768595	2.99447672039931	6.57157899655039	6.19205528912615e-08	1.24237397321027e-05	9.79517967210398e-06	"FOS/JUNB/KLF6/CD83/RELB/ZFP36L1/SOD1/FCER1G/NDFIP1/BRD2/MYC/IRF8/DNAJB9/BATF/ZC3H12A/EGR1/NFKBID/RARA/SOX4/XBP1/JMJD6/STAT3/IL2RA/SOCS3/BRAF/FOXP3/SLC25A5/CCR7/IRF7/NFATC1/CEBPG"	31
"GO:0002696"	"BP"	"GO:0002696"	"positive regulation of leukocyte activation"	"26/404"	"362/18888"	0.0718232044198895	3.35791258683879	6.69676946944243	8.02362373062254e-08	1.53186283447368e-05	1.20775805194276e-05	"HSPH1/HSPD1/CDKN1A/CD55/TNFRSF4/TYROBP/NR4A3/CD83/PELI1/EBI3/BRD2/IL6ST/MIF/NFKBID/FCGR3A/RARA/SOX4/ICOS/XBP1/IL2RA/HES1/FOXP3/CCR7/CD160/MAP3K8/YES1"	26
"GO:1901873"	"BP"	"GO:1901873"	"regulation of post-translational protein modification"	"21/404"	"246/18888"	0.0853658536585366	3.99106496015455	6.98105950248054	8.24567315207125e-08	1.53186283447368e-05	1.20775805194276e-05	"HSPA1A/HSPA1B/HSP90AB1/DNAJA1/SQSTM1/UBE2B/PELI1/HSP90AA1/TNFAIP3/UBB/NDFIP1/UBE2D1/ZC3H12A/IVNS1ABP/EGR1/SOX4/CRY1/UBE2S/HSPA5/DDX3X/GABARAP"	21
"GO:1903706"	"BP"	"GO:1903706"	"regulation of hemopoiesis"	"28/404"	"424/18888"	0.0660377358490566	3.0874276106856	6.42696076991771	1.46761314301858e-07	2.62912411620757e-05	2.07286563094767e-05	"HSPA1A/FOS/ZFP36/HSPA1B/JUNB/TYROBP/CD83/ZFP36L1/SOD1/NFKBIA/PITHD1/NDFIP1/BRD2/PAF1/MYC/NME2/BATF/ZC3H12A/NFKBID/RARA/SOX4/XBP1/STAT3/IL2RA/BRAF/FOXP3/KLF10/IRF7"	28
"GO:0042594"	"BP"	"GO:0042594"	"response to starvation"	"19/404"	"212/18888"	0.089622641509434	4.1900803287876	6.9056062178065	1.6052671718496e-07	2.77655866689572e-05	2.18910662963301e-05	"FOS/ZFP36/CDKN1A/HSPA8/MAP1LC3B/MAP1LC3A/PMAIP1/DDIT3/YWHAZ/SESN3/ZC3H12A/SLC38A2/MAP1LC3B2/XBP1/ATF3/SESN1/HSPA5/KLF10/GABARAP"	19
"GO:0009267"	"BP"	"GO:0009267"	"cellular response to starvation"	"17/404"	"172/18888"	0.0988372093023256	4.6208841814414	7.05255580935996	1.78433544635144e-07	2.98340886629962e-05	2.35219237612013e-05	"FOS/CDKN1A/HSPA8/MAP1LC3B/MAP1LC3A/PMAIP1/YWHAZ/SESN3/ZC3H12A/SLC38A2/MAP1LC3B2/XBP1/ATF3/SESN1/HSPA5/KLF10/GABARAP"	17
"GO:0050867"	"BP"	"GO:0050867"	"positive regulation of cell activation"	"26/404"	"380/18888"	0.068421052631579	3.19885356956748	6.40151186247731	2.08225697785831e-07	3.3692261293346e-05	2.65638012421516e-05	"HSPH1/HSPD1/CDKN1A/CD55/TNFRSF4/TYROBP/NR4A3/CD83/PELI1/EBI3/BRD2/IL6ST/MIF/NFKBID/FCGR3A/RARA/SOX4/ICOS/XBP1/IL2RA/HES1/FOXP3/CCR7/CD160/MAP3K8/YES1"	26
"GO:2000573"	"BP"	"GO:2000573"	"positive regulation of DNA biosynthetic process"	"11/404"	"70/18888"	0.157142857142857	7.34681753889675	7.8648871212451	2.61000548061055e-07	4.03980034871598e-05	3.18507720769872e-05	"HSP90AB1/RGCC/PTGES3/HSP90AA1/CCT4/MYC/NAF1/TCP1/NEK7/KLF4/NFATC1"	11
"GO:1903320"	"BP"	"GO:1903320"	"regulation of protein modification by small protein conjugation or removal"	"20/404"	"241/18888"	0.0829875518672199	3.87987346452488	6.65199072305942	2.65776338731314e-07	4.03980034871598e-05	3.18507720769872e-05	"HSPA1A/HSPA1B/HSP90AB1/DNAJA1/SQSTM1/PELI1/HSP90AA1/TNFAIP3/UBB/NDFIP1/UBE2D1/ZC3H12A/IVNS1ABP/EGR1/SOX4/CRY1/UBE2S/HSPA5/DDX3X/GABARAP"	20
"GO:0031396"	"BP"	"GO:0031396"	"regulation of protein ubiquitination"	"18/404"	"198/18888"	0.0909090909090909	4.25022502250225	6.79697334377621	2.75216846532635e-07	4.06025794766969e-05	3.20120647809012e-05	"HSPA1A/HSPA1B/HSP90AB1/DNAJA1/SQSTM1/PELI1/HSP90AA1/TNFAIP3/UBB/NDFIP1/UBE2D1/IVNS1ABP/SOX4/CRY1/UBE2S/HSPA5/DDX3X/GABARAP"	18
"GO:0051972"	"BP"	"GO:0051972"	"regulation of telomerase activity"	"9/404"	"44/18888"	0.204545454545455	9.56300630063006	8.40698450230037	3.13339420697509e-07	4.49060152633916e-05	3.54049986033246e-05	"HSP90AB1/PTGES3/HSP90AA1/CCT4/MYC/NAF1/TCP1/NEK7/KLF4"	9
"GO:0072539"	"BP"	"GO:0072539"	"T-helper 17 cell differentiation"	"8/404"	"33/18888"	0.242424242424242	11.3339333933393	8.78382252465185	3.55293896390593e-07	4.95042828970892e-05	3.90303850508613e-05	"JUNB/BRD2/BATF/ZC3H12A/NFKBID/STAT3/SOCS3/FOXP3"	8
"GO:0030522"	"BP"	"GO:0030522"	"intracellular receptor signaling pathway"	"25/404"	"369/18888"	0.0677506775067751	3.16751187313853	6.21641636608803	4.30445818734492e-07	5.83544926154652e-05	4.60081064291746e-05	"HSPA1A/HSPA1B/NR4A1/DNAJA1/HSPA8/PTGES3/NR4A2/NR4A3/PELI1/TNFAIP3/FKBP4/NFKBIA/AHR/PER1/PCBP2/PPP2CA/ERRFI1/NEK7/SCGB2A2/RARA/CRY1/STAT3/CYP7B1/DDX3X/IRF7"	25
"GO:0140467"	"BP"	"GO:0140467"	"integrated stress response signaling"	"9/404"	"46/18888"	0.195652173913043	9.14722341799397	8.17898166939781	4.68880210611561e-07	6.10040288437409e-05	4.80970654675427e-05	"PPP1R15A/FOS/JUNB/DDIT3/BATF/JUN/PPP1R15B/HSPA5/CEBPG"	9
"GO:0034620"	"BP"	"GO:0034620"	"cellular response to unfolded protein"	"12/404"	"90/18888"	0.133333333333333	6.23366336633663	7.35775648038588	4.74313621392722e-07	6.10040288437409e-05	4.80970654675427e-05	"HSPA1A/PPP1R15A/HSPD1/SERP1/RHBDD2/DDIT3/DNAJB9/BAG3/XBP1/PPP1R15B/ATF3/HSPA5"	12
"GO:0072538"	"BP"	"GO:0072538"	"T-helper 17 type immune response"	"9/404"	"47/18888"	0.191489361702128	8.95260164314304	8.07012711648427	5.69073868845927e-07	7.13618631532793e-05	5.62634348751092e-05	"JUNB/ARID5A/BRD2/BATF/ZC3H12A/NFKBID/STAT3/SOCS3/FOXP3"	9
"GO:1903039"	"BP"	"GO:1903039"	"positive regulation of leukocyte cell-cell adhesion"	"21/404"	"277/18888"	0.075812274368231	3.54441148085928	6.3069090656537	6.01279626781043e-07	7.35614294617979e-05	5.79976266448365e-05	"HSPH1/HSPD1/CD55/NR4A3/CD83/EBI3/BRD2/IL6ST/NFKBID/RARA/SOX4/ICOS/XBP1/IL2RA/HES1/FOXP3/CCR7/CD160/MAP3K8/YES1/NFAT5"	21
"GO:0030098"	"BP"	"GO:0030098"	"lymphocyte differentiation"	"27/404"	"432/18888"	0.0625	2.9220297029703	5.97457985778341	7.25878147631821e-07	8.66905902028861e-05	6.83489774599687e-05	"JUNB/KLF6/CD83/RELB/ZFP36L1/SOD1/FCER1G/NDFIP1/BRD2/IRF8/DNAJB9/BATF/ZC3H12A/EGR1/NFKBID/RARA/SOX4/XBP1/JMJD6/STAT3/IL2RA/SOCS3/BRAF/FOXP3/SLC25A5/CCR7/CEBPG"	27
"GO:0043367"	"BP"	"GO:0043367"	"CD4-positive, alpha-beta T cell differentiation"	"12/404"	"94/18888"	0.127659574468085	5.96840109542869	7.13912781168654	7.6574095171196e-07	8.93245724136556e-05	7.04256733312566e-05	"JUNB/CD83/RELB/BRD2/BATF/ZC3H12A/NFKBID/RARA/STAT3/SOCS3/BRAF/FOXP3"	12
"GO:0062197"	"BP"	"GO:0062197"	"cellular response to chemical stress"	"22/404"	"311/18888"	0.0707395498392283	3.30724905287956	6.06542271185601	1.04599509401567e-06	0.000119243440717786	9.40144394310253e-05	"HSPA1A/FOS/HSPA1B/DNAJA1/NR4A2/GPX1/RELB/MAP1LC3A/TNFAIP3/ZFP36L1/KDM6B/SOD1/RHOB/SOD2/DDIT3/NME2/ZC3H12A/CHCHD2/KLF4/JUN/DDX3X/NFAT5"	22
"GO:0002757"	"BP"	"GO:0002757"	"immune response-activating signaling pathway"	"29/404"	"500/18888"	0.058	2.71164356435644	5.73462837058388	1.28634308811294e-06	0.000143384376221656	0.000113047742269949	"HSPA1A/HSPA1B/HSPD1/SQSTM1/HSPA8/TYROBP/NR4A3/PELI1/TNFAIP3/NFKBIA/FCER1G/PRNP/NINJ1/ZC3H12A/PCBP2/PPP2CA/NEK7/NFKBID/EZR/S100A14/BRAF/DDX3X/FOXP3/CCR7/IRF7/CD160/PTK2/YES1/CD14"	29
"GO:0070663"	"BP"	"GO:0070663"	"regulation of leukocyte proliferation"	"20/404"	"267/18888"	0.0749063670411985	3.50205807097564	6.08731405821486	1.34543024642625e-06	0.000146710393827697	0.000115670055739666	"CDKN1A/CD55/TNFRSF4/TYROBP/NMB/PELI1/TNFAIP3/EBI3/NDFIP1/PRNP/AHR/IL6ST/MIF/ARG2/FCGR3A/SDC4/IL2RA/HES1/FOXP3/PTK2"	20
"GO:2001234"	"BP"	"GO:2001234"	"negative regulation of apoptotic signaling pathway"	"19/404"	"244/18888"	0.0778688524590164	3.64056159714332	6.13756156765151	1.38922233655968e-06	0.000148262537025178	0.000116893803324854	"HSPA1A/LMNA/HSPA1B/DNAJA1/NR4A2/GPX1/TNFAIP3/HSPB1/SOD2/MIF/SLC25A4/MCL1/IVNS1ABP/IER3/XBP1/MUC1/DDX3X/SLC25A5/ICAM1"	19
"GO:0032609"	"BP"	"GO:0032609"	"type II interferon production"	"13/404"	"119/18888"	0.109243697478992	5.10741326233464	6.64500798864048	1.62547746602758e-06	0.000166395815706007	0.000131190522875738	"HSPD1/ARID5A/EBI3/PRNP/DDIT3/IRF8/ZC3H12A/RARA/FOXP3/CCR7/CEBPG/CD160/CD14"	13
"GO:0032649"	"BP"	"GO:0032649"	"regulation of type II interferon production"	"13/404"	"119/18888"	0.109243697478992	5.10741326233464	6.64500798864048	1.62547746602758e-06	0.000166395815706007	0.000131190522875738	"HSPD1/ARID5A/EBI3/PRNP/DDIT3/IRF8/ZC3H12A/RARA/FOXP3/CCR7/CEBPG/CD160/CD14"	13
"GO:0031400"	"BP"	"GO:0031400"	"negative regulation of protein modification process"	"26/404"	"426/18888"	0.0610328638497653	2.8534374564217	5.72028351791162	1.81672586179855e-06	0.00018225393845563	0.000143693453953203	"HSPA1A/PPP1R15A/DUSP1/HSPA1B/CDKN1A/DNAJA1/SQSTM1/UBE2B/TNFAIP3/HSPB1/MYADM/PRNP/ZC3H12A/CALM1/IVNS1ABP/PPP2CA/ERRFI1/GADD45A/GPRC5A/SOX4/CRY1/CADM1/PPP1R15B/PTPN13/SOCS3/INPP5F"	26
"GO:0035967"	"BP"	"GO:0035967"	"cellular response to topologically incorrect protein"	"12/404"	"102/18888"	0.117647058823529	5.50029120559115	6.73748384348977	1.85757156089701e-06	0.000182697626459988	0.0001440432684064	"HSPA1A/PPP1R15A/HSPD1/SERP1/RHBDD2/DDIT3/DNAJB9/BAG3/XBP1/PPP1R15B/ATF3/HSPA5"	12
"GO:0002292"	"BP"	"GO:0002292"	"T cell differentiation involved in immune response"	"11/404"	"85/18888"	0.129411764705882	6.05032032615026	6.89904547444838	1.93120880841829e-06	0.000186287372750503	0.000146873512008654	"JUNB/RELB/FCER1G/BRD2/BATF/ZC3H12A/NFKBID/RARA/STAT3/SOCS3/FOXP3"	11
"GO:0002366"	"BP"	"GO:0002366"	"leukocyte activation involved in immune response"	"21/404"	"301/18888"	0.0697674418604651	3.26180059866452	5.84799652392791	2.29422106651528e-06	0.000217128544710201	0.000171189444824189	"JUNB/HSPD1/TYROBP/NR4A3/RELB/FCER1G/NDFIP1/BRD2/IRF8/SH2D1B/BATF/ZC3H12A/NFKBID/FCGR3A/RARA/XBP1/CD177/STAT3/SOCS3/FOXP3/ICAM1"	21
"GO:0050870"	"BP"	"GO:0050870"	"positive regulation of T cell activation"	"19/404"	"253/18888"	0.075098814229249	3.51105545337142	5.9446468311644	2.38101002165383e-06	0.000221169375344734	0.000174375334334375	"HSPH1/HSPD1/CD55/CD83/EBI3/BRD2/IL6ST/NFKBID/RARA/SOX4/ICOS/XBP1/IL2RA/HES1/FOXP3/CCR7/CD160/MAP3K8/YES1"	19
"GO:0002263"	"BP"	"GO:0002263"	"cell activation involved in immune response"	"21/404"	"305/18888"	0.0688524590163934	3.21902288589515	5.77601058403639	2.82641090153062e-06	0.000257768674219592	0.000203231114967474	"JUNB/HSPD1/TYROBP/NR4A3/RELB/FCER1G/NDFIP1/BRD2/IRF8/SH2D1B/BATF/ZC3H12A/NFKBID/FCGR3A/RARA/XBP1/CD177/STAT3/SOCS3/FOXP3/ICAM1"	21
"GO:1905323"	"BP"	"GO:1905323"	"telomerase holoenzyme complex assembly"	"4/404"	"6/18888"	0.666666666666667	31.1683168316832	10.9263951292412	2.99021455411883e-06	0.000267837789347501	0.00021116985112452	"HSP90AB1/PTGES3/HSP90AA1/NAF1"	4
"GO:0090084"	"BP"	"GO:0090084"	"negative regulation of inclusion body assembly"	"5/404"	"12/18888"	0.416666666666667	19.480198019802	9.46708882616218	3.05640800354539e-06	0.000268963904311994	0.000212057707651339	"HSPA1A/DNAJB1/HSPA1B/DNAJB6/HSPA2"	5
"GO:0002285"	"BP"	"GO:0002285"	"lymphocyte activation involved in immune response"	"17/404"	"212/18888"	0.080188679245283	3.7490192415468	5.95083584447232	3.35493754229489e-06	0.000290144253657779	0.000228756812094409	"JUNB/HSPD1/RELB/FCER1G/NDFIP1/BRD2/IRF8/BATF/ZC3H12A/NFKBID/FCGR3A/RARA/XBP1/STAT3/SOCS3/FOXP3/ICAM1"	17
"GO:2001242"	"BP"	"GO:2001242"	"regulation of intrinsic apoptotic signaling pathway"	"16/404"	"190/18888"	0.0842105263157895	3.93705054715998	6.01540450071474	3.46444683677053e-06	0.000294536700563406	0.000232219924455787	"HSPA1A/DNAJA1/GPX1/HSPB1/SOD1/SOD2/UBB/PMAIP1/MYC/DDIT3/MIF/MCL1/IVNS1ABP/XBP1/MUC1/DDX3X"	16
"GO:0030217"	"BP"	"GO:0030217"	"T cell differentiation"	"21/404"	"310/18888"	0.067741935483871	3.1671031619291	5.68767989629383	3.64865861447781e-06	0.000304903297073778	0.000240393202196378	"JUNB/CD83/RELB/ZFP36L1/SOD1/FCER1G/BRD2/BATF/ZC3H12A/EGR1/NFKBID/RARA/SOX4/XBP1/JMJD6/STAT3/IL2RA/SOCS3/BRAF/FOXP3/CCR7"	21
"GO:0042176"	"BP"	"GO:0042176"	"regulation of protein catabolic process"	"23/404"	"362/18888"	0.0635359116022099	2.97046113451124	5.59635842311229	3.70795476903916e-06	0.000304903297073778	0.000240393202196378	"HSPA1A/HSPA1B/HSP90AB1/OAZ1/GPX1/ZFAND2A/HSP90AA1/TNFAIP3/PITHD1/UBB/NDFIP1/AZIN1/PLK3/ODC1/SNX9/IER3/TIPARP/EZR/SERPINE2/RYBP/CST3/PLK2/GABARAP"	23
"GO:0042093"	"BP"	"GO:0042093"	"T-helper cell differentiation"	"10/404"	"74/18888"	0.135135135135135	6.31790206047632	6.77625619769624	3.80408382049059e-06	0.000307762652315819	0.000242647587666946	"JUNB/RELB/BRD2/BATF/ZC3H12A/NFKBID/RARA/STAT3/SOCS3/FOXP3"	10
"GO:2000316"	"BP"	"GO:2000316"	"regulation of T-helper 17 type immune response"	"7/404"	"32/18888"	0.21875	10.227103960396	7.72306715060334	4.12349326392753e-06	0.000327921057737197	0.000258540966574047	"JUNB/ARID5A/BRD2/BATF/ZC3H12A/NFKBID/FOXP3"	7
