X1	gene_sample	Gene.ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	change
52	NPY1R	NPY1R	ENSG00000164128	0.861704361081979	1.62224360682306	3.39718043787023	0.000808249543971259	0.0680953855507521	-2.53820994602176	up
53	MELK	MELK	ENSG00000165304	-0.542368354872738	3.40173663548323	-3.23043051922559	0.00142581919843757	0.0931350637581359	-3.06641762957385	down
54	CD52	CD52	ENSG00000169442	-0.669441447474338	6.096212908624	-3.68801544883317	0.000284950865209679	0.0389235904472768	-1.56005434372923	down
55	BUB1	BUB1	ENSG00000169679	-0.740320760784139	3.33481487984652	-4.66143336186572	5.44848364845094e-06	0.00493464972898934	2.21539630838092	down
56	NAT1	NAT1	ENSG00000171428	1.20332110607323	4.15125057428711	4.19080282997654	4.02963317563155e-05	0.0145603432394262	0.296293251254507	up
57	TPSAB1	TPSAB1	ENSG00000172236	0.756847276473173	1.82978124860029	4.0070235772945	8.42209543159334e-05	0.0210140461506719	-0.406029604092969	up
58	PCP2	PCP2	ENSG00000174788	0.645849666748974	1.23807153100727	4.36716479362005	1.9399996263887e-05	0.00941919818602084	0.995414300283899	up
59	UBE2C	UBE2C	ENSG00000175063	-0.504226421488272	5.1281232696885	-2.90461014104221	0.00405307009273701	0.159335049321822	-4.0282874591433	down
60	SCUBE2	SCUBE2	ENSG00000175356	0.726386193797918	0.859678607197174	5.36346191550328	2.06543049501327e-07	0.00127626368628368	5.38317247200641	up
61	ZNF552	ZNF552	ENSG00000178935	0.86756290685562	4.06997515293263	4.36802664043288	1.93297372027415e-05	0.00941919818602084	0.998890413740167	up
62	MUC1	MUC1	ENSG00000185499	0.664131484864426	4.30006739779848	2.81462141575766	0.00532733254018657	0.183948851894015	-4.27730870966183	up
63	PRAME	PRAME	ENSG00000185686	-0.937854224342397	1.76304118923051	-3.75225536384943	0.000224336024812581	0.0351024565326918	-1.33440730351947	down
64	KRT5	KRT5	ENSG00000186081	-0.922646972476631	4.36484056501427	-2.53589172608079	0.0119117322127302	0.274593705477602	-5.00209440988517	down
65	KRT16	KRT16	ENSG00000186832	-0.705565615545331	2.81428523534117	-2.21990819870101	0.0274478063904682	0.425112005850049	-5.73728339139432	down
66	MAPT	MAPT	ENSG00000186868	0.580263996206134	1.00650721042953	4.5269973507741	9.80810437999245e-06	0.00680961435159079	1.64986481483878	up
67	BCAM	BCAM	ENSG00000187244	0.74185118995202	4.05528196804634	4.26139195757383	3.0157328032018e-05	0.0120680171004455	0.573189911195257	up
68	TPRG1	TPRG1	ENSG00000188001	0.61147781657344	2.71070438992174	2.59937455590744	0.00997286302349869	0.25292512490829	-4.84325167190975	up
69	GREB1	GREB1	ENSG00000196208	0.717585069940413	2.08624473606581	3.32609315436309	0.0010323199964264	0.0780387520894023	-2.76632982173734	up
70	EVL	EVL	ENSG00000196405	-0.502099704074857	5.56268884007181	-3.00515184232338	0.00296312914612289	0.133691308722761	-3.74149361902032	down
71	CAPN8	CAPN8	ENSG00000203697	0.549958010708024	0.944518139827224	3.16337115035624	0.00178026550052882	0.103628374572093	-3.27202973351798	up
72	SERPINB5	SERPINB5	ENSG00000206075	-0.593967500728066	2.84861463837378	-2.02531171919737	0.0440459471698949	0.531349366781089	-6.14353806679734	down
73	CYP21A2	CYP21A2	ENSG00000231852	0.619606245133807	4.06126664327535	2.15084244476965	0.0325812216818265	0.460932777508952	-5.88556022488646	up
74	APOBEC3G	APOBEC3G	ENSG00000239713	-0.54281545508597	3.22003549484564	-3.61160272698827	0.000377149720062134	0.0456612936145149	-1.82397143787678	down
75	HLA-DOB	HLA-DOB	ENSG00000241106	-0.557382886201236	1.58928476973069	-3.64326214754097	0.000335978876212369	0.0429979922665699	-1.71521870340056	down
76	C4A	C4A	ENSG00000244731	0.734037130167166	3.45755604301122	3.050860250079	0.00256288983274855	0.122167874051746	-3.60813911292329	up
77	MIA	MIA	ENSG00000261857	-0.612747102098181	2.41354290955051	-2.45016002368799	0.0150619057909196	0.311318149542001	-5.21072174775429	down
