"category"	"subcategory"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"hsa05166"	"Human Diseases"	"Infectious disease: viral"	"hsa05166"	"Human T-cell leukemia virus 1 infection"	"33/577"	"223/8842"	7.20429393453994e-06	0.000209579459913889	0.000161321031644244	"1870/5902/3560/958/5595/3551/5971/898/3718/595/1871/991/7043/1959/3559/3601/4316/148327/890/3561/1029/9133/917/115/4085/915/246184/916/3122/4893/3115/3113/3112"	33
"hsa04650"	"Organismal Systems"	"Immune system"	"hsa04650"	"Natural killer cell mediated cytotoxicity"	"23/577"	"135/8842"	1.83066929534074e-05	0.00048817847875753	0.000375768960622572	"2534/7305/3459/3937/3002/5595/8797/3458/962/2185/8743/10870/5880/3821/5578/2207/3455/2215/4068/5336/3823/4893/22914"	23
"hsa05140"	"Human Diseases"	"Infectious disease: parasitic"	"hsa05140"	"Leishmaniasis"	"16/577"	"77/8842"	2.86955785347753e-05	0.000706352702394468	0.000543705698553637	"3459/3717/1917/5595/3458/3676/6772/7043/653361/2215/1536/3592/3122/3115/3113/3112"	16
"hsa05321"	"Human Diseases"	"Immune disease"	"hsa05321"	"Inflammatory bowel disease"	"14/577"	"65/8842"	5.93984884422143e-05	0.00135767973582204	0.00104505611244197	"3459/3595/2625/3458/6772/7043/59067/3561/3606/3592/3122/3115/3113/3112"	14
"hsa05144"	"Human Diseases"	"Infectious disease: parasitic"	"hsa05144"	"Malaria"	"12/577"	"50/8842"	6.51858717081154e-05	0.00139063192977313	0.00107042063015432	"958/1311/6347/3458/3820/7060/7043/3606/7412/3592/3576/22914"	12
"hsa05150"	"Human Diseases"	"Infectious disease: bacterial"	"hsa05150"	"Staphylococcus aureus infection"	"18/577"	"100/8842"	7.024748597536e-05	0.0014049497195072	0.00108144156041015	"3881/3875/3872/2215/717/3880/2266/713/712/3868/2359/1675/3122/3115/721/3113/3112/720"	18
"hsa04218"	"Cellular Processes"	"Cell growth and death"	"hsa04218"	"Cellular senescence"	"24/577"	"157/8842"	7.5348707060476e-05	0.00141832860349131	0.00109173978031897	"1870/5933/4605/5595/7249/898/1021/595/2305/1871/7043/22800/891/890/1029/9133/3576/983/5883/51806/1978/1874/4893/83593"	24
"hsa05330"	"Human Diseases"	"Immune disease"	"hsa05330"	"Allograft rejection"	"10/577"	"38/8842"	0.000115456515645889	0.00201629895542604	0.00155201959068978	"3002/958/3458/941/3592/940/3122/3115/3113/3112"	10
"hsa04657"	"Organismal Systems"	"Immune system"	"hsa04657"	"IL-17 signaling pathway"	"17/577"	"95/8842"	0.000119717750478421	0.00201629895542604	0.00155201959068978	"2920/4318/5595/6361/3551/6354/6347/3458/6364/7128/6372/6279/6280/2919/7184/3627/3576"	17
"hsa04068"	"Environmental Information Processing"	"Signal transduction"	"hsa04068"	"FoxO signaling pathway"	"21/577"	"133/8842"	0.000131163784008116	0.00209862054412986	0.00161538555041575	"5595/9455/23678/3551/595/6648/7043/8743/8698/891/901/3480/92579/10733/6502/9133/5347/3575/3667/3643/4893"	21
"hsa04621"	"Organismal Systems"	"Immune system"	"hsa04621"	"NOD-like receptor signaling pathway"	"26/577"	"189/8842"	0.000227187862112473	0.00345003662513253	0.00265562029697701	"330/2920/4938/5595/3551/10135/6347/6772/2633/7128/10010/9051/3606/115362/3455/115361/3428/9447/2919/1536/3576/55669/81858/837/114769/6352"	26
"hsa05162"	"Human Diseases"	"Infectious disease: viral"	"hsa05162"	"Measles"	"21/577"	"139/8842"	0.000247204798318923	0.00345003662513253	0.00265562029697701	"5610/4938/3560/3551/898/3718/1021/595/64135/6772/7128/3559/3561/4599/3455/917/915/3592/940/4600/916"	21
"hsa04672"	"Organismal Systems"	"Immune system"	"hsa04672"	"Intestinal immune network for IgA production"	"11/577"	"49/8842"	0.0002479713824314	0.00345003662513253	0.00265562029697701	"608/958/10673/3676/941/3601/940/3122/3115/3113/3112"	11
"hsa04612"	"Organismal Systems"	"Immune system"	"hsa04612"	"Antigen processing and presentation"	"14/577"	"80/8842"	0.000593093494766876	0.00790791326355835	0.00608701218313373	"3458/3821/1514/925/1520/6890/4261/6891/3122/3823/10437/3115/3113/3112"	14
"hsa04640"	"Organismal Systems"	"Immune system"	"hsa04640"	"Hematopoietic cell lineage"	"16/577"	"99/8842"	0.000621956077676928	0.00796103779426468	0.00612790409163795	"928/960/921/3676/914/3559/925/917/915/3575/924/916/3122/3115/3113/3112"	16
"hsa04066"	"Environmental Information Processing"	"Signal transduction"	"hsa04066"	"HIF-1 signaling pathway"	"17/577"	"109/8842"	0.000649063172542152	0.00798846981590341	0.0061490195293467	"3459/5214/3162/5595/3458/2597/3945/5160/3480/226/5163/5578/3101/1536/3643/1978/5336"	17
"hsa05145"	"Human Diseases"	"Infectious disease: parasitic"	"hsa05145"	"Toxoplasmosis"	"17/577"	"111/8842"	0.000802731685188359	0.00951385700963981	0.00732316625084117	"330/3459/3717/958/5595/3551/5294/3458/6772/7043/3592/3913/4261/3122/3115/3113/3112"	17
"hsa04115"	"Cellular Processes"	"Cell growth and death"	"hsa04115"	"p53 signaling pathway"	"13/577"	"75/8842"	0.00101168837068423	0.0115621528078198	0.00889981499022968	"51512/7249/8797/898/1021/595/891/901/1029/9133/983/6241/5268"	13
"hsa05214"	"Human Diseases"	"Cancer: specific types"	"hsa05214"	"Glioma"	"13/577"	"76/8842"	0.00114945659905218	0.012683659024024	0.00976307964349218	"1870/5595/1021/595/1871/5159/3480/1029/814/5578/51806/5336/4893"	13
"hsa04064"	"Environmental Information Processing"	"Signal transduction"	"hsa04064"	"NF-kappa B signaling pathway"	"16/577"	"105/8842"	0.00119727968621464	0.0127709833196229	0.0098302963710255	"330/2920/958/10673/3551/5971/7128/597/79092/7412/2919/3576/5336/4050/4067/6351"	16
"hsa05221"	"Human Diseases"	"Cancer: specific types"	"hsa05221"	"Acute myeloid leukemia"	"12/577"	"68/8842"	0.00133131510834147	0.0137426075699764	0.0105781913532055	"11040/5595/3551/595/5914/5292/597/890/6934/3728/1978/4893"	12
"hsa04940"	"Human Diseases"	"Endocrine and metabolic disease"	"hsa04940"	"Type I diabetes mellitus"	"9/577"	"43/8842"	0.00153418808157954	0.0153418808157954	0.0118092108911057	"3002/3458/941/3592/940/3122/3115/3113/3112"	9
"hsa05215"	"Human Diseases"	"Cancer: specific types"	"hsa05215"	"Prostate cancer"	"15/577"	"98/8842"	0.00161041956300421	0.015616189701859	0.0120203565468257	"1870/4318/5595/3551/5327/898/595/1871/5159/3480/148327/6934/7184/367/4893"	15
"hsa05417"	"Human Diseases"	"Cardiovascular disease"	"hsa05417"	"Lipid and atherosclerosis"	"26/577"	"216/8842"	0.00174962262888704	0.016147195560131	0.0124290913193114	"2920/3717/4318/958/5595/3551/8797/6347/6648/8743/10010/3606/5578/653361/7412/2919/1536/7184/3592/3576/4973/51806/4893/4067/6352/6348"	26
"hsa04668"	"Environmental Information Processing"	"Signal transduction"	"hsa04668"	"TNF signaling pathway"	"17/577"	"119/8842"	0.00176609951438933	0.016147195560131	0.0124290913193114	"64285/330/2920/4318/5595/3551/6347/6364/7128/6372/3659/148327/7412/2919/197259/3627/6352"	17
"hsa05332"	"Human Diseases"	"Immune disease"	"hsa05332"	"Graft-versus-host disease"	"9/577"	"44/8842"	0.00181945779207811	0.0161729581518054	0.0124489217352712	"3002/3458/941/3821/940/3122/3115/3113/3112"	9
"hsa05161"	"Human Diseases"	"Infectious disease: viral"	"hsa05161"	"Hepatitis B"	"21/577"	"163/8842"	0.0020572906241926	0.0177927837768009	0.0136957611966165	"1870/332/3717/4318/5595/3551/898/3718/1871/64135/6772/7043/2185/1959/5111/3339/148327/890/5578/3576/4893"	21
"hsa04933"	"Human Diseases"	"Endocrine and metabolic disease"	"hsa04933"	"AGE-RAGE signaling pathway in diabetic complications"	"15/577"	"101/8842"	0.00218860439741333	0.0184303528203228	0.0141865215788011	"3717/5595/6347/1277/595/6772/7043/5292/5578/7412/1536/3576/1287/5336/4893"	15
"hsa05142"	"Human Diseases"	"Infectious disease: parasitic"	"hsa05142"	"Chagas disease"	"15/577"	"103/8842"	0.00266255625854699	0.0218466154547446	0.0168161447908231	"3459/5595/3551/6347/3458/7043/917/915/3592/3576/713/712/916/6352/6348"	15
"hsa05171"	"Human Diseases"	"Infectious disease: viral"	"hsa05171"	"Coronavirus disease - COVID-19"	"27/577"	"238/8842"	0.00337941037227167	0.0270352829781733	0.0208100533450413	"5610/4938/5595/3551/6347/64135/6772/6144/6189/5578/4599/3455/6154/200916/1536/717/3592/3627/3576/2266/713/712/4600/1675/5336/721/720"	27
"hsa04915"	"Organismal Systems"	"Endocrine system"	"hsa04915"	"Estrogen signaling pathway"	"18/577"	"139/8842"	0.00394540293218936	0.0307933887390389	0.0237028058057076	"5241/2099/3881/4318/5595/3875/3872/5914/148327/7031/115/3760/7184/3880/51806/3868/9687/4893"	18
"hsa04151"	"Environmental Information Processing"	"Signal transduction"	"hsa04151"	"PI3K-Akt signaling pathway"	"37/577"	"362/8842"	0.00415539236314519	0.03166013229063	0.0243699702500245	"2065/3693/3717/3560/5595/7249/23678/3551/898/3718/1311/1021/5294/1277/595/7060/5618/5159/3694/3676/3559/1101/3480/92579/148327/3561/5578/118788/3455/7184/3575/3667/3643/3913/1978/1287/4893"	37
"hsa05133"	"Human Diseases"	"Infectious disease: bacterial"	"hsa05133"	"Pertussis"	"12/577"	"78/8842"	0.0043823052738206	0.0319537922626404	0.0245960111495324	"5595/6372/3659/3394/717/3592/3576/713/712/51806/721/720"	12
"hsa05219"	"Human Diseases"	"Cancer: specific types"	"hsa05219"	"Bladder cancer"	"8/577"	"41/8842"	0.00439364643611305	0.0319537922626404	0.0245960111495324	"1870/4318/5595/595/1871/1029/3576/4893"	8
"hsa05416"	"Human Diseases"	"Cardiovascular disease"	"hsa05416"	"Viral myocarditis"	"11/577"	"69/8842"	0.00474561054965433	0.033746563908653	0.02597597353495	"2534/958/595/941/5880/1525/940/3122/3115/3113/3112"	11
"hsa04512"	"Environmental Information Processing"	"Signaling molecules and interaction"	"hsa04512"	"ECM-receptor interaction"	"13/577"	"89/8842"	0.00486784078403933	0.0338632402367954	0.0260657836033228	"960/3693/1311/1277/7060/3694/3676/1101/3339/255743/3913/1287/961"	13
"hsa05235"	"Human Diseases"	"Cancer: overview"	"hsa05235"	"PD-L1 expression and PD-1 checkpoint pathway in cancer"	"13/577"	"90/8842"	0.00536089803227633	0.0364997312835835	0.0280951878959163	"3459/3717/5595/3551/3458/6772/29126/10538/917/915/940/916/4893"	13
"hsa04630"	"Environmental Information Processing"	"Signal transduction"	"hsa04630"	"JAK-STAT signaling pathway"	"20/577"	"168/8842"	0.00642758906107147	0.0428505937404765	0.0329836807081299	"3459/3595/3717/1439/3560/3718/595/3458/5618/5159/6772/3559/3601/5292/59067/3561/3455/3575/3592/5771"	20
"hsa05320"	"Human Diseases"	"Immune disease"	"hsa05320"	"Autoimmune thyroid disease"	"9/577"	"53/8842"	0.00674446564332482	0.0440454899155907	0.033903436316606	"3002/958/941/1081/940/3122/3115/3113/3112"	9
"hsa05223"	"Human Diseases"	"Cancer: specific types"	"hsa05223"	"Non-small cell lung cancer"	"11/577"	"73/8842"	0.00731829060353852	0.0468370598626465	0.0360522105521687	"1870/5595/3718/1021/595/1871/1029/5578/5336/4893/83593"	11
"hsa03030"	"Genetic Information Processing"	"Replication and repair"	"hsa03030"	"DNA replication"	"7/577"	"36/8842"	0.00771372757638769	0.0483998593028247	0.0372551548580953	"23649/10714/5111/1763/5984/2237/57804"	7
"hsa04625"	"Organismal Systems"	"Immune system"	"hsa04625"	"C-type lectin receptor signaling pathway"	"14/577"	"105/8842"	0.00805556108414506	0.0495726835947388	0.0381579209248976	"5595/6361/3551/5971/6772/1959/3659/22800/2207/26253/3592/51806/5336/4893"	14
