"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:1903037"	"BP"	"GO:1903037"	"regulation of leukocyte cell-cell adhesion"	"58/1074"	"382/18870"	7.09385003384185e-12	4.69354914057281e-09	4.02889951682788e-09	"FYN/RUNX3/CD44/PAG1/PTPRC/JAK2/TNFSF13B/CORO1A/IL4I1/JAK3/GLI3/GATA3/CCL2/CD5/IFNG/ADTRP/ITGA4/IGFBP2/CD274/CD80/CCR2/SASH3/IRF1/FGL2/FCHO1/IDO1/RARA/PTPN22/IL2RA/HAVCR2/LRRC32/IL21/SOX13/ZC3H8/IL2RG/IL18/DLG5/LAPTM5/VCAM1/IL7R/IL12A/LGALS9/PTPN2/YES1/CD28/LILRB4/GCNT1/ZP3/CD47/CD3E/HLA-DRA/AIF1/KLRK1/HLA-DPB1/HLA-DPA1/HLA-DOB/LYN/CCL5"	58
"GO:0046631"	"BP"	"GO:0046631"	"alpha-beta T cell activation"	"37/1074"	"181/18870"	8.24975509456841e-12	5.00347646485574e-09	4.29493828826873e-09	"RUNX3/PRDM1/PTPRC/JAK2/RELB/NKG7/JAK3/GLI3/GATA3/IFNG/CD274/CD80/CCR2/SASH3/GPR18/IRF1/RARA/PTPN22/IL2RA/CTSL/IRF4/IL21/ARMC5/IL2RG/IL18/BATF/CD3G/EOMES/CD3D/IL12A/LGALS9/GPR183/ZNF683/CD28/LILRB4/CD3E/HLA-DRA"	37
"GO:1903039"	"BP"	"GO:1903039"	"positive regulation of leukocyte cell-cell adhesion"	"47/1074"	"275/18870"	1.12238096948673e-11	6.2836066891726e-09	5.39379032704754e-09	"FYN/RUNX3/CD44/PTPRC/JAK2/TNFSF13B/CORO1A/IL4I1/GLI3/GATA3/CCL2/CD5/IFNG/ITGA4/IGFBP2/CD274/CD80/CCR2/SASH3/FCHO1/RARA/PTPN22/IL2RA/HAVCR2/IL21/SOX13/IL2RG/IL18/VCAM1/IL7R/IL12A/LGALS9/YES1/CD28/LILRB4/GCNT1/ZP3/CD47/CD3E/HLA-DRA/AIF1/KLRK1/HLA-DPB1/HLA-DPA1/HLA-DOB/LYN/CCL5"	47
"GO:0030217"	"BP"	"GO:0030217"	"T cell differentiation"	"50/1074"	"307/18870"	1.5390011391622e-11	8.00060735058752e-09	6.86764794054713e-09	"RUNX3/TNFRSF9/PRDM1/PTPRC/RELB/IL4I1/JAK3/CDK6/GLI3/GATA3/IFNG/CD2/CD80/CCR2/SASH3/GPR18/IRF1/FGL2/RARA/PTPN22/IL2RA/KLRC1/CTSL/IRF4/IL21/ARMC5/SOX13/ZC3H8/IL2RG/IL18/CAMK4/CD8A/BATF/FCER1G/CD3G/IKZF3/EOMES/CLEC4E/CD3D/IL7R/LGALS9/GPR183/PTPN2/ZNF683/FZD8/CD28/LILRB4/FANCA/CD3E/HLA-DRA"	50
"GO:0030595"	"BP"	"GO:0030595"	"leukocyte chemotaxis"	"43/1074"	"240/18870"	1.737312178962e-11	8.42943869232361e-09	7.23575282957155e-09	"F7/CXCL2/CORO1A/MAPK3/CCL17/PIK3CG/CCL7/CCL2/CCL8/THBS4/CCL20/PADI2/PTK2B/CCR2/CXCL6/GPR18/RAC2/CXCL9/S100A8/PLA2G7/CXADR/CXCL13/SLAMF8/FCER1G/CXCL16/S100A9/S100A12/CXCL1/PPIB/IL12A/LGALS9/CXCL10/CXCL11/CXCL8/GPR183/PDE4B/AIF1/KLRK1/LYN/CCL5/CCL4/CCL18/CCL3"	43
"GO:0050870"	"BP"	"GO:0050870"	"positive regulation of T cell activation"	"44/1074"	"251/18870"	2.1507555924828e-11	9.78324950130612e-09	8.3978516061746e-09	"FYN/RUNX3/PTPRC/JAK2/TNFSF13B/CORO1A/IL4I1/GLI3/GATA3/CCL2/CD5/IFNG/IGFBP2/CD274/CD80/CCR2/SASH3/FCHO1/RARA/PTPN22/IL2RA/HAVCR2/IL21/SOX13/IL2RG/IL18/VCAM1/IL7R/IL12A/LGALS9/YES1/CD28/LILRB4/ZP3/CD47/CD3E/HLA-DRA/AIF1/KLRK1/HLA-DPB1/HLA-DPA1/HLA-DOB/LYN/CCL5"	44
"GO:0050900"	"BP"	"GO:0050900"	"leukocyte migration"	"58/1074"	"396/18870"	3.13605005077124e-11	1.34259836879489e-08	1.15247412082522e-08	"CD9/FYN/F7/CXCL2/HMOX1/CORO1A/MAPK3/CCL17/PIK3CG/GATA3/CCL7/CCL2/CCL8/ADTRP/THBS4/CCL20/ITGA4/PADI2/PTK2B/CCR2/CXCL6/GPR18/RAC2/CXCL9/ECM1/S100A8/PLA2G7/CXADR/CXCL13/SLAMF8/FCER1G/CXCL16/VCAM1/S100A9/S100A12/CXCL1/PPIB/IL12A/LGALS9/ROR2/CXCL10/CXCL11/CXCL8/GPR183/YES1/PDE4B/GCNT1/ZP3/SELL/CD47/AIF1/KLRK1/EMP2/LYN/CCL5/CCL4/CCL18/CCL3"	58
"GO:0030593"	"BP"	"GO:0030593"	"neutrophil chemotaxis"	"27/1074"	"107/18870"	3.48490563880883e-11	1.4090635132917e-08	1.20952719101347e-08	"CXCL2/CCL17/PIK3CG/CCL7/CCL2/CCL8/THBS4/CCL20/CXCL6/RAC2/CXCL9/S100A8/CXADR/CXCL13/FCER1G/S100A9/S100A12/CXCL1/PPIB/CXCL10/CXCL11/CXCL8/PDE4B/CCL5/CCL4/CCL18/CCL3"	27
"GO:0071346"	"BP"	"GO:0071346"	"cellular response to type II interferon"	"28/1074"	"120/18870"	1.11931329339932e-10	4.28755902597909e-08	3.68040132760387e-08	"WAS/IFNGR1/JAK2/CCL17/CCL7/CCL2/CCL8/IFNG/GAPDH/CCL20/ACTR3/STAT1/GBP1/IRF1/MED1/ACTR2/IRF8/GBP5/GBP4/LGALS9/PTPN2/CD47/AIF1/HLA-DPA1/CCL5/CCL4/CCL18/CCL3"	28
"GO:0060326"	"BP"	"GO:0060326"	"cell chemotaxis"	"50/1074"	"325/18870"	1.26119737537822e-10	4.46548807696502e-08	3.83313399239053e-08	"F7/CXCL2/CORO1A/MAPK3/CCL17/PIK3CG/HSPB1/CCL7/CCL2/CCL8/SMOC2/THBS4/PDGFRB/CCL20/PADI2/PTK2B/CCR2/CXCL6/GPR18/RAC2/CXCL9/PIP5K1A/S100A8/CXCL14/PLA2G7/CXADR/CXCL13/SLAMF8/FCER1G/CXCL16/VCAM1/S100A9/S100A12/CXCL1/HMGB2/PPIB/IL12A/LGALS9/CXCL10/CXCL11/CXCL8/GPR183/PDE4B/AIF1/KLRK1/LYN/CCL5/CCL4/CCL18/CCL3"	50
"GO:0001819"	"BP"	"GO:0001819"	"positive regulation of cytokine production"	"66/1074"	"499/18870"	1.28847553745899e-10	4.46548807696502e-08	3.83313399239053e-08	"TYROBP/SLC11A1/IFNGR1/EIF2AK2/CD84/PTPRC/IL12RB2/C1QTNF3/OAS1/JAK2/HMOX1/CD40/PIK3CG/HSPB1/GATA3/POU2AF1/IFNG/GAPDH/IFIH1/STAT1/CD2/CD274/CD80/CCR2/SASH3/IRF1/H19/IDO1/RARA/CHI3L1/PTPN22/HAVCR2/TANK/IRF4/IL21/IRF8/CD226/IL18/GBP5/BATF/FCER1G/APOA2/SCIMP/LAPTM5/IFI16/AIM2/HMGB2/CYBB/CLEC4E/IL12A/LGALS9/CD28/PDE4B/ZP3/S100A13/HDAC2/PLCG2/CD3E/AIF1/KLRK1/HLA-DPB1/LTB/ORM1/HLA-DPA1/MMP12/CCL3"	66
"GO:1990266"	"BP"	"GO:1990266"	"neutrophil migration"	"29/1074"	"129/18870"	1.36422963762865e-10	4.51311968302786e-08	3.87402052599331e-08	"CXCL2/CCL17/PIK3CG/CCL7/CCL2/CCL8/THBS4/CCL20/CXCL6/RAC2/CXCL9/S100A8/CXADR/CXCL13/SLAMF8/FCER1G/S100A9/S100A12/CXCL1/PPIB/CXCL10/CXCL11/CXCL8/PDE4B/EMP2/CCL5/CCL4/CCL18/CCL3"	29
"GO:0070663"	"BP"	"GO:0070663"	"regulation of leukocyte proliferation"	"44/1074"	"267/18870"	1.74143489157959e-10	5.49508360063882e-08	4.71692934290673e-08	"TYROBP/TNFRSF9/PTPRC/JAK2/CSF2RB/CD40/TNFSF13B/CORO1A/MAPK3/IL4I1/PRLR/IGFBP2/TNFAIP3/CD274/CD80/CCR2/SASH3/IRF1/RAC2/IDO1/PTPN22/IL2RA/HAVCR2/LRRC32/IL21/IL18/DLG5/IKZF3/VCAM1/MNDA/IL12A/LGALS9/GPR183/MZB1/CD28/LILRB4/ZP3/CD3E/AIF1/HLA-DPB1/HLA-DPA1/LYN/RASSF5/CCL5"	44
"GO:0050670"	"BP"	"GO:0050670"	"regulation of lymphocyte proliferation"	"41/1074"	"238/18870"	1.81206384192542e-10	5.49508360063882e-08	4.71692934290673e-08	"TYROBP/TNFRSF9/PTPRC/JAK2/CD40/TNFSF13B/CORO1A/IL4I1/PRLR/IGFBP2/CD274/CD80/CCR2/SASH3/IRF1/RAC2/IDO1/PTPN22/IL2RA/HAVCR2/LRRC32/IL21/IL18/DLG5/IKZF3/VCAM1/MNDA/IL12A/LGALS9/GPR183/MZB1/CD28/LILRB4/ZP3/CD3E/AIF1/HLA-DPB1/HLA-DPA1/LYN/RASSF5/CCL5"	41
"GO:0045785"	"BP"	"GO:0045785"	"positive regulation of cell adhesion"	"64/1074"	"482/18870"	2.10172291080013e-10	6.11853573792133e-08	5.25209493709422e-08	"FYN/PLAUR/RUNX3/CD44/FSTL3/PTPRC/JAK2/TNFSF13B/CORO1A/IL4I1/CDK6/AGR2/GLI3/GATA3/CCL2/CD5/IFNG/GCNT2/ITGA4/IGFBP2/CD274/PTK2B/CD80/CCR2/SASH3/FOXA1/FCHO1/RARA/PTPN22/IL2RA/ADAM19/HAVCR2/IL21/SOX13/MYO10/IL2RG/IL18/PRKCA/CXCL13/VCAM1/IL7R/NPNT/IL12A/LGALS9/FGG/LAMB2/RHOD/JUP/YES1/CD28/LILRB4/GCNT1/ZP3/CD47/CD3E/HLA-DRA/AIF1/KLRK1/EMP2/HLA-DPB1/HLA-DPA1/HLA-DOB/LYN/CCL5"	64
"GO:0046634"	"BP"	"GO:0046634"	"regulation of alpha-beta T cell activation"	"27/1074"	"116/18870"	2.55005081248378e-10	7.13818069740651e-08	6.12734881461183e-08	"RUNX3/PRDM1/PTPRC/JAK2/JAK3/GLI3/GATA3/IFNG/CD274/CD80/CCR2/SASH3/IRF1/RARA/PTPN22/IL2RA/IRF4/IL2RG/IL18/BATF/IL12A/LGALS9/ZNF683/CD28/LILRB4/CD3E/HLA-DRA"	27
"GO:0002274"	"BP"	"GO:0002274"	"myeloid leukocyte activation"	"41/1074"	"241/18870"	2.69409146494568e-10	7.26207321550913e-08	6.23369701538114e-08	"TYROBP/SLC11A1/IFNGR1/LCP2/CD84/PTPRC/JAK2/NDRG1/RELB/PIK3CG/CTSC/IFNG/ITGB6/CD2/CCR2/NMI/CXCL6/RAC2/HAVCR2/IRF4/ANXA3/CD226/IL18/CAMK4/BATF/FCER1G/S100A12/LGALS9/CXCL8/C1QA/GATA2/LILRB4/MAPT/PLSCR1/S100A13/PLCG2/AIF1/UBD/LYN/CCL5/CCL3"	41
"GO:0032944"	"BP"	"GO:0032944"	"regulation of mononuclear cell proliferation"	"41/1074"	"242/18870"	3.06962702908022e-10	7.9788376848735e-08	6.84896105924477e-08	"TYROBP/TNFRSF9/PTPRC/JAK2/CD40/TNFSF13B/CORO1A/IL4I1/PRLR/IGFBP2/CD274/CD80/CCR2/SASH3/IRF1/RAC2/IDO1/PTPN22/IL2RA/HAVCR2/LRRC32/IL21/IL18/DLG5/IKZF3/VCAM1/MNDA/IL12A/LGALS9/GPR183/MZB1/CD28/LILRB4/ZP3/CD3E/AIF1/HLA-DPB1/HLA-DPA1/LYN/RASSF5/CCL5"	41
"GO:0032609"	"BP"	"GO:0032609"	"type II interferon production"	"27/1074"	"119/18870"	4.71608472889967e-10	1.10850381182167e-07	9.5152950104303e-08	"SLC11A1/IL12RB2/JAK2/GATA3/CD2/CD274/CCR2/SASH3/RARA/PTPN22/HAVCR2/IL21/IRF8/CD226/IL18/CD96/LAPTM5/IL12A/LGALS9/PDE4B/LILRB4/ZP3/CD47/CD3E/KLRK1/HLA-DPB1/HLA-DPA1"	27
"GO:0032649"	"BP"	"GO:0032649"	"regulation of type II interferon production"	"27/1074"	"119/18870"	4.71608472889967e-10	1.10850381182167e-07	9.5152950104303e-08	"SLC11A1/IL12RB2/JAK2/GATA3/CD2/CD274/CCR2/SASH3/RARA/PTPN22/HAVCR2/IL21/IRF8/CD226/IL18/CD96/LAPTM5/IL12A/LGALS9/PDE4B/LILRB4/ZP3/CD47/CD3E/KLRK1/HLA-DPB1/HLA-DPA1"	27
"GO:0002696"	"BP"	"GO:0002696"	"positive regulation of leukocyte activation"	"54/1074"	"380/18870"	4.72157435648142e-10	1.10850381182167e-07	9.5152950104303e-08	"FYN/TYROBP/RUNX3/PTPRC/JAK2/CD40/TNFSF13B/CORO1A/IL4I1/GLI3/GATA3/CCL2/CTSC/CD5/IFNG/PRLR/IGFBP2/CD2/CD274/CD80/CCR2/SASH3/FCHO1/RARA/PTPN22/IL2RA/IL15RA/HAVCR2/IL21/SOX13/IL2RG/CD226/IL18/VCAM1/IL7R/IL12A/LGALS9/GPR183/YES1/CD28/GATA2/LILRB4/ZP3/CD47/CD3E/HLA-DRA/AIF1/KLRK1/HLA-DPB1/HLA-DPA1/HLA-DOB/LYN/CCL5/CCL3"	54
"GO:0051251"	"BP"	"GO:0051251"	"positive regulation of lymphocyte activation"	"49/1074"	"330/18870"	6.73078211527417e-10	1.53083225734267e-07	1.31405236362343e-07	"FYN/TYROBP/RUNX3/PTPRC/JAK2/CD40/TNFSF13B/CORO1A/IL4I1/GLI3/GATA3/CCL2/CD5/IFNG/PRLR/IGFBP2/CD274/CD80/CCR2/SASH3/FCHO1/RARA/PTPN22/IL2RA/IL15RA/HAVCR2/IL21/SOX13/IL2RG/IL18/VCAM1/IL7R/IL12A/LGALS9/GPR183/YES1/CD28/LILRB4/ZP3/CD47/CD3E/HLA-DRA/AIF1/KLRK1/HLA-DPB1/HLA-DPA1/HLA-DOB/LYN/CCL5"	49
"GO:0050867"	"BP"	"GO:0050867"	"positive regulation of cell activation"	"55/1074"	"396/18870"	7.69469988914987e-10	1.69703108464342e-07	1.45671591202885e-07	"FYN/TYROBP/RUNX3/PTPRC/JAK2/CD40/TNFSF13B/CORO1A/IL4I1/GLI3/GATA3/CCL2/CTSC/CD5/IFNG/PRLR/IGFBP2/PLEK/CD2/CD274/CD80/CCR2/SASH3/FCHO1/RARA/PTPN22/IL2RA/IL15RA/HAVCR2/IL21/SOX13/IL2RG/CD226/IL18/VCAM1/IL7R/IL12A/LGALS9/GPR183/YES1/CD28/GATA2/LILRB4/ZP3/CD47/CD3E/HLA-DRA/AIF1/KLRK1/HLA-DPB1/HLA-DPA1/HLA-DOB/LYN/CCL5/CCL3"	55
"GO:0071621"	"BP"	"GO:0071621"	"granulocyte chemotaxis"	"28/1074"	"130/18870"	8.08284669422031e-10	1.73020465413339e-07	1.48519179969652e-07	"CXCL2/MAPK3/CCL17/PIK3CG/CCL7/CCL2/CCL8/THBS4/CCL20/CXCL6/RAC2/CXCL9/S100A8/CXADR/CXCL13/FCER1G/S100A9/S100A12/CXCL1/PPIB/CXCL10/CXCL11/CXCL8/PDE4B/CCL5/CCL4/CCL18/CCL3"	28
"GO:0070098"	"BP"	"GO:0070098"	"chemokine-mediated signaling pathway"	"23/1074"	"91/18870"	9.51551512885449e-10	1.97868340308009e-07	1.69848367788726e-07	"FOXC1/CXCL2/CCL17/CCL7/CCL2/CCL8/CCL20/PADI2/PTK2B/CCR2/CXCL6/CXCL9/CXCL13/CXCL1/CXCL10/CXCL11/CXCL8/ROBO1/LYN/CCL5/CCL4/CCL18/CCL3"	23
"GO:0042098"	"BP"	"GO:0042098"	"T cell proliferation"	"37/1074"	"213/18870"	1.099859273826e-09	2.22354883191822e-07	1.90867391525067e-07	"FYN/SLC11A1/TNFRSF9/PTPRC/JAK2/TNFSF13B/CORO1A/IL4I1/PIK3CG/IGFBP2/CD274/CD80/CCR2/SASH3/IRF1/RAC2/IDO1/PTPN22/IL2RA/HAVCR2/LRRC32/IL21/ARMC5/IL18/DLG5/VCAM1/LGALS9/CD151/CD28/LILRB4/ZP3/CD3E/AIF1/PSMB10/HLA-DPB1/HLA-DPA1/CCL5"	37
"GO:0048247"	"BP"	"GO:0048247"	"lymphocyte chemotaxis"	"19/1074"	"64/18870"	1.44233326864785e-09	2.83710852141055e-07	2.43534792302276e-07	"CCL17/PIK3CG/CCL7/CCL2/CCL8/CCL20/PADI2/PTK2B/CCR2/CXCL13/CXCL16/CXCL10/CXCL11/GPR183/KLRK1/CCL5/CCL4/CCL18/CCL3"	19
"GO:0034612"	"BP"	"GO:0034612"	"response to tumor necrosis factor"	"41/1074"	"259/18870"	2.49667396334569e-09	4.78178765927103e-07	4.10464265165005e-07	"BIRC3/TNFRSF17/JAK2/CD40/TNFSF13B/MAPK3/CCL17/IKBKB/GATA3/CCL7/CCL2/CCL8/COL1A1/KRT18/CCL20/STAT1/GBP1/TNFAIP3/PTK2B/CHI3L1/TANK/CARD14/AFF3/OTULIN/CXCL16/LAPTM5/VCAM1/AIM2/NPNT/CXCL8/KRT8/PTPN2/SHARPIN/CASP4/SLC22A5/CARD16/UBD/CCL5/CCL4/CCL18/CCL3"	41
"GO:0002768"	"BP"	"GO:0002768"	"immune response-regulating cell surface receptor signaling pathway"	"49/1074"	"346/18870"	3.40096290801368e-09	6.31834557169164e-07	5.4236098650569e-07	"FYN/TYROBP/PRKCH/LCP2/PTPRC/OAS1/CD40/IKBKB/KCNN4/CD79A/GATA3/LPXN/GBP1/TNFAIP3/NMI/FCHO1/THEMIS2/PTPN22/KLRC1/SLC39A6/CD226/BANK1/CD8A/PIK3AP1/FCER1G/CD3G/SCIMP/LAPTM5/TRAT1/MNDA/CLEC4E/CD3D/PTPN2/YES1/CD28/SH2D1A/PDE4B/BTLA/LILRB4/FPR3/PLSCR1/CD47/PLCG2/CD3E/KLRC3/IGKC/KLRK1/HLA-DPB1/LYN"	49
"GO:0007059"	"BP"	"GO:0007059"	"chromosome segregation"	"56/1074"	"424/18870"	3.51479341189328e-09	6.31834557169164e-07	5.4236098650569e-07	"CENPQ/ASPM/RAD18/TRIP13/SPAG5/TPX2/BIRC5/KIF4A/MISP/MYBL2/FAM83D/CCNE1/NCAPG/TTK/SMC4/ECT2/ACTR3/CDC20/NEK2/MND1/KIF18A/STIL/HJURP/DLGAP5/KNSTRN/HAUS8/CCNB1/BRIP1/NUSAP1/KIF23/ACTR2/KIF2C/NUF2/HORMAD1/CDCA5/MKI67/INCENP/CENPU/CENPH/SKA1/CCNB2/MAD2L1/SKA3/PLK1/CDT1/KIFC2/BUB1/CDK1/ESCO2/UBE2C/RMI2/CDCA2/PLSCR1/CCDC69/SMC5/PRC1"	56
